Accel_x,Accel_y,Accel_z,Gyro_x,Gyro_y,Gyro_z,Mag_x,Mag_y,Mag_z,Roll,Pitch,Yaw,Data Point,Time (s),Acc_x Norm,Vel_x,,,,# points,47196
2.892342962,-0.05267512,9.323496269,-0.022461443,-0.008422375,-0.000511335,5.618334972,9.129356765,1.674415511,-0.31875737,-17.2347212,-61.87320461,13355,1335.5,0.105842854,,,,,,
2.614601419,-1.886727031,9.093641199,0.004170574,-0.003095972,-0.001576615,6.379698123,8.59727769,2.307426253,-11.5596766,-15.72319613,-55.99094909,13356,1335.6,-0.171898689,,,,,,
2.820513252,-1.350398535,9.036177432,0.02973731,-0.019075182,-0.006903019,6.773506649,8.289231909,2.082809538,-8.370835113,-17.15584735,-53.8168152,13357,1335.7,0.034013144,,,,,,
2.997693202,-0.545905791,10.04179336,-0.00115583,0.013948519,0.005880349,6.747252747,8.709294337,1.408959393,-3.066054082,-16.59834792,-54.76005026,13358,1335.8,0.211193094,,,,,,
3.10783209,-0.172391302,9.524619455,0.020149784,0.020340203,0.001619227,6.300936418,8.401248557,0.857627457,-1.020272597,-18.06845903,-55.5598765,13359,1335.9,0.321331982,,,,,,
3.194027741,0.114927535,10.41530785,0.018019223,0.002230431,0.004815069,6.169666909,8.821310985,0.673850145,0.622656995,-17.04805331,-57.23204067,13360,1336,0.407527633,,,,,,
3.917113481,-1.312089357,8.734492653,0.02867203,-0.024401586,-0.001576615,5.067003036,8.205219424,0.673850145,-8.358367759,-23.9167585,-59.47107717,13361,1336.1,1.130613373,,,,,,
3.227548272,-1.632928725,8.56210135,-0.092769969,0.01607908,0.027185963,4.935733527,8.233223586,1.674415511,-10.6023736,-20.31876287,-61.38479384,13362,1336.2,0.441048164,,,,,,
3.323321218,-0.727874388,10.91811582,-0.026722566,-0.005226533,0.008010911,6.143413007,8.177215262,2.654561176,-3.757062492,-16.89415479,-57.71988766,13363,1336.3,0.536821109,,,,,,
3.433460105,-1.728701671,4.57315816,-0.041636496,-0.035054393,0.054883261,6.878522256,9.409398384,1.96029133,-20.01838445,-35.07978053,-55.9759986,13364,1336.4,0.646959997,,,,,,
3.821340536,0.804492744,11.41613513,0.010562258,-0.078730901,-0.00903358,6.353444221,9.745448326,1.347700289,3.964817766,-18.46434457,-60.77410017,13365,1336.5,1.034840427,,,,,,
4.539637629,-0.584214969,14.5718537,0.004170574,-0.093644831,-0.00903358,5.959635695,9.213369251,1.449798796,-2.260696765,-17.29056066,-59.90940318,13366,1336.6,1.753137521,,,,,,
2.77262678,-1.422228244,9.333073564,0.012692819,-0.059555849,-0.036730878,5.224526446,9.157360927,1.20476238,-8.539476835,-16.36672753,-61.27903587,13367,1336.7,-0.013873329,,,,,,
4.424710094,-2.734317601,9.002656901,0.04465124,-0.04677248,-0.001576615,6.195920811,9.073348441,2.695400579,-16.51185561,-25.18651095,-59.36951611,13368,1336.8,1.638209986,,,,,,
4.29062797,-1.245048295,10.2381279,-0.016069759,0.050168063,0.017598437,6.379698123,9.549419193,1.123083574,-6.792671967,-22.58820684,-58.48451941,13369,1336.9,1.504127862,,,,,,
4.309782559,0.526751202,8.84463154,0.011627539,0.050168063,0.010141472,5.749604481,8.821310985,1.286441185,3.327404242,-25.93897369,-63.33639452,13370,1337,1.523282451,,,,,,
3.313743923,0.268164248,8.35140087,-0.043767057,0.004360993,0.005880349,5.723350579,8.457256881,1.388539692,1.803386951,-21.63251414,-60.74473307,13371,1337.1,0.527243815,,,,,,
3.701624353,-1.02477052,10.08489119,-0.006482233,-0.044641919,0.001619227,5.670842776,8.345240233,1.347700289,-5.698293081,-20.06048047,-58.59722603,13372,1337.2,0.915124245,,,,,,
3.098254795,-2.025597803,9.342650858,-0.021396163,0.010752677,0.011206753,6.64223714,9.997485783,1.041404769,-12.03940677,-17.95724263,-56.37197708,13373,1337.3,0.311754687,,,,,,
3.222759625,0.809281392,8.657874296,-0.042701776,-0.013748779,0.010141472,6.143413007,10.47355653,1.306860887,5.243093628,-20.33565947,-64.23854557,13374,1337.4,0.436259516,,,,,,
3.289800687,-1.336032593,8.720126711,0.002040013,-0.000965411,0.001619227,6.327190319,9.997485783,0.918886561,-8.551830234,-20.45117582,-58.5488132,13375,1337.5,0.503300578,,,,,,
2.839667842,-1.336032593,9.519830808,0.018019223,0.037384694,0.000553946,5.959635695,9.381394222,1.408959393,-7.872915449,-16.45687118,-59.06927574,13376,1337.6,0.053167733,,,,,,
2.935440787,-0.474076081,9.270821149,-0.008612794,0.026731887,0.000553946,6.458459828,9.35339006,0.89846686,-2.881803142,-17.54794695,-57.2871505,13377,1337.7,0.148940679,,,,,,
2.935440787,-1.929824857,9.103218494,0.041455398,0.001165151,-0.006903019,5.382049857,9.773452488,0.673850145,-11.78457469,-17.50795093,-60.30403487,13378,1337.8,0.148940679,,,,,,
3.720778943,0.009577295,10.54938997,-0.041636496,-0.006291814,0.013337314,5.749604481,9.325385898,1.65399581,0.051114717,-19.4277827,-62.42465004,13379,1337.9,0.934278834,,,,,,
3.730356237,1.321666651,10.66910616,0.022280346,0.002230431,-0.003707177,6.327190319,9.493410869,1.368119991,6.941568161,-19.13619485,-60.88563268,13380,1338,0.943856129,,,,,,
3.361630396,-1.494057954,9.629969696,-0.006482233,-0.004161253,-0.012229422,6.537221533,9.941477459,1.858192823,-8.66997363,-19.0320355,-59.016466,13381,1338.1,0.575130288,,,,,,
2.968961318,-1.503635248,9.878979355,-0.00115583,0.017144361,-0.0079683,6.0383974,10.08149827,1.551897303,-8.528089613,-16.54728416,-60.47434596,13382,1338.2,0.18246121,,,,,,
3.088677501,-1.019981872,9.309130327,0.009496977,0.028862449,-0.010098861,5.959635695,10.2775274,1.776514018,-6.151585961,-18.25339715,-62.35709965,13383,1338.3,0.302177392,,,,,,
2.466153353,-0.349571252,9.663490227,-0.012873917,-0.011618218,-0.0079683,6.143413007,10.24952324,1.878612525,-2.045658479,-14.30750775,-61.57979928,13384,1338.4,-0.320346755,,,,,,
1.944190799,0.56506038,9.663490227,0.033998433,-0.026532147,-0.012229422,6.589729337,10.10950243,1.531477602,3.313233713,-11.35654518,-58.85913414,13385,1338.5,-0.842309309,,,,,,
1.996865919,-0.234643717,10.2477052,-0.034179531,0.017144361,-0.000511335,6.432205926,10.89361896,1.286441185,-1.299031459,-11.02365235,-60.75264946,13386,1338.6,-0.789634189,,,,,,
2.59544683,-1.388707713,9.615603754,-0.013939198,-0.035054393,-0.000511335,5.172018643,9.885469135,2.144068642,-8.109999541,-14.95719523,-64.51556555,13387,1338.7,-0.191053278,,,,,,
2.097427512,0.28253019,11.23416654,0.02867203,-0.013748779,-0.0079683,6.799760551,9.717444164,2.225747448,1.427320276,-10.57214402,-57.17113012,13388,1338.8,-0.689072596,,,,,,
3.514867109,-0.799704097,11.58373779,0.018019223,-0.027597428,-0.000511335,6.274682516,10.16551075,1.81735342,-3.890412386,-16.84162318,-61.04329732,13389,1338.9,0.728367001,,,,,,
2.154891279,-0.976884047,9.112795789,-0.026722566,0.01607908,-0.0079683,6.983537863,10.30553156,2.205327746,-6.047727165,-13.23115485,-58.01666647,13390,1339,-0.631608829,,,,,,
2.049541039,0.205911833,8.744069947,0.002040013,0.053363905,0.011206753,5.775858383,10.30553156,1.102663873,1.333373249,-13.18801188,-62.64315419,13391,1339.1,-0.736959069,,,,,,
2.375169055,0.498019318,7.719299428,0.009496977,-0.028662709,-0.011164142,5.198272545,9.857464973,2.532042968,3.635607052,-17.06931058,-67.31976022,13392,1339.2,-0.411331053,,,,,,
2.494885237,0.220277775,10.36742138,0.030802591,-0.039315515,-0.010098861,6.405952025,9.521415031,2.082809538,1.202719577,-13.52781974,-58.99615144,13393,1339.3,-0.291614871,,,,,,
3.562753582,-3.098254795,10.89417258,0.055304047,-0.023336305,-0.005837738,5.933381793,9.521415031,2.246167149,-15.63268705,-17.46145693,-59.39924301,13394,1339.4,0.776253474,,,,,,
2.265030167,-0.943363516,11.01388876,0.092588871,0.09277929,-0.006903019,7.403600291,9.577423355,2.450364162,-4.845971365,-11.57973412,-54.61518486,13395,1339.5,-0.521469941,,,,,,
1.814897322,-0.861956512,8.308303044,-0.028853128,-0.007357095,0.009076191,6.064651302,10.33353572,1.20476238,-5.859494896,-12.25855388,-60.45651457,13396,1339.6,-0.971602786,,,,,,
4.314571206,-1.795742733,9.610815106,0.0744791,-0.01481406,0.008010911,5.224526446,9.885469135,2.062389837,-10.35619083,-23.81147295,-65.13661448,13397,1339.7,1.528071098,,,,,,
3.811763241,-1.546733074,10.53502403,-0.024592005,0.039515256,0.011206753,6.379698123,9.493410869,2.756659683,-8.206011627,-19.69637774,-60.47867037,13398,1339.8,1.025263133,,,,,,
3.088677501,-0.675199268,9.749685878,-0.036310092,-0.007357095,0.004815069,6.510967632,9.689440002,2.327845954,-3.900023725,-17.53865519,-59.84991071,13399,1339.9,0.302177392,,,,,,
3.701624353,-1.034347814,9.81672694,0.009496977,-0.007357095,0.001619227,7.062299568,9.941477459,1.694835212,-5.904316075,-20.55591026,-57.6261595,13400,1340,0.915124245,,,,,,
4.295416617,-0.541117144,10.53502403,-0.043767057,-0.036119673,0.003749788,6.589729337,10.38954405,1.449798796,-2.881690519,-22.15568612,-61.15988827,13401,1340.1,1.508916509,,,,,,
2.705585718,-0.598580911,9.725742641,0.020149784,-0.002030691,0.003749788,5.565827169,9.857464973,1.919451927,-3.47368958,-15.51798968,-63.28638051,13402,1340.2,-0.080914391,,,,,,
